latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.627415,-117.42999,520.0,-25200,America/Los_Angeles,PDT

time,wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°)
2010-07-01,10.2,23.0,207
2010-07-02,13.7,25.9,232
2010-07-03,13.3,24.6,223
2010-07-04,17.3,31.5,238
2010-07-05,11.9,21.3,280
2010-07-06,5.6,12.3,60
2010-07-07,11.0,23.7,59
2010-07-08,7.9,16.6,70
2010-07-09,6.7,13.4,187
2010-07-10,13.8,25.7,225
2010-07-11,15.8,29.8,232
2010-07-12,27.7,48.5,253
2010-07-13,13.9,26.6,286
2010-07-14,5.8,14.3,198
2010-07-15,11.2,23.7,195
2010-07-16,15.0,28.4,233
2010-07-17,9.8,21.7,212
2010-07-18,11.3,24.4,213
2010-07-19,11.7,23.7,221
2010-07-20,8.7,17.4,61
2010-07-21,8.5,18.8,0
2010-07-22,21.7,38.9,245
2010-07-23,6.5,13.2,284
2010-07-24,6.3,16.1,207
2010-07-25,6.4,15.9,195
2010-07-26,8.4,18.6,208
2010-07-27,13.8,26.2,169
2010-07-28,15.0,20.1,157
2010-07-29,7.7,17.2,158
2010-07-30,6.7,15.2,83
2010-07-31,14.4,21.3,301
2010-08-01,11.6,23.0,226
2010-08-02,9.4,20.4,184
2010-08-03,13.1,20.1,51
2010-08-04,13.8,27.7,48
2010-08-05,10.8,19.9,37
2010-08-06,12.9,25.7,236
2010-08-07,14.3,27.3,239
2010-08-08,11.5,24.6,230
2010-08-09,11.7,23.7,202
2010-08-10,9.4,21.3,210
2010-08-11,8.4,14.3,209
2010-08-12,15.1,27.5,231
2010-08-13,15.5,27.7,49
2010-08-14,15.0,27.1,60
2010-08-15,13.5,25.5,46
2010-08-16,8.6,16.1,31
2010-08-17,7.2,17.9,189
2010-08-18,14.8,28.4,212
2010-08-19,16.1,28.9,223
2010-08-20,11.5,23.3,220
2010-08-21,12.5,24.4,216
2010-08-22,16.3,31.5,239
2010-08-23,11.0,23.0,232
2010-08-24,7.6,15.7,73
2010-08-25,7.5,15.9,144
2010-08-26,26.9,44.7,237
2010-08-27,17.8,31.1,242
2010-08-28,7.6,16.6,7
2010-08-29,10.5,21.7,207
2010-08-30,9.1,19.7,207
2010-08-31,18.1,32.7,210
2010-09-01,15.2,29.1,257
2010-09-02,8.7,16.3,66
2010-09-03,9.3,15.4,108
2010-09-04,18.9,34.0,243
2010-09-05,17.0,31.5,274
2010-09-06,12.8,25.5,207
2010-09-07,10.3,21.5,45
2010-09-08,7.3,17.7,248
2010-09-09,12.9,25.7,254
2010-09-10,14.2,26.6,214
2010-09-11,9.7,21.3,208
2010-09-12,9.9,20.8,194
2010-09-13,5.6,12.3,256
2010-09-14,7.9,17.0,326
2010-09-15,9.5,18.1,173
2010-09-16,11.8,21.5,217
2010-09-17,15.2,28.6,62
2010-09-18,11.4,21.9,61
2010-09-19,14.0,27.7,195
2010-09-20,18.8,34.4,218
2010-09-21,8.1,13.9,233
2010-09-22,9.1,18.8,14
2010-09-23,14.5,27.1,201
2010-09-24,10.0,17.2,195
2010-09-25,8.9,18.1,165
2010-09-26,16.5,29.5,203
2010-09-27,11.9,23.0,205
2010-09-28,17.5,32.4,238
2010-09-29,6.4,12.8,45
2010-09-30,9.5,18.1,40
2010-10-01,11.1,19.2,64
2010-10-02,6.2,10.5,85
2010-10-03,9.0,18.8,161
2010-10-04,10.3,21.5,201
2010-10-05,6.3,11.4,42
2010-10-06,9.6,18.6,38
2010-10-07,7.4,16.3,171
2010-10-08,11.1,20.6,188
2010-10-09,8.8,16.8,161
2010-10-10,18.9,34.4,219
2010-10-11,13.1,24.6,231
2010-10-12,7.8,14.3,124
2010-10-13,7.2,15.4,84
2010-10-14,8.6,17.7,177
2010-10-15,15.0,24.8,255
2010-10-16,8.2,15.7,9
2010-10-17,5.0,9.2,29
2010-10-18,7.1,15.4,225
2010-10-19,5.7,11.0,140
2010-10-20,8.5,15.0,64
2010-10-21,4.8,9.8,80
2010-10-22,11.7,21.7,201
2010-10-23,9.6,18.6,166
2010-10-24,22.7,39.6,203
2010-10-25,22.5,36.2,224
2010-10-26,16.8,28.9,215
2010-10-27,11.7,19.0,139
2010-10-28,10.2,17.0,96
2010-10-29,6.7,15.7,158
2010-10-30,8.8,17.0,82
2010-10-31,14.4,26.6,198
2010-11-01,14.3,26.2,177
2010-11-02,13.1,23.0,255
2010-11-03,14.2,25.7,48
2010-11-04,7.6,12.8,63
2010-11-05,8.0,15.0,145
2010-11-06,10.4,19.9,181
2010-11-07,15.9,26.2,211
2010-11-08,11.9,21.7,217
2010-11-09,11.0,20.8,147
2010-11-10,6.7,13.6,4
2010-11-11,8.5,16.1,184
2010-11-12,9.1,17.4,236
2010-11-13,8.3,16.1,182
2010-11-14,9.4,18.1,240
2010-11-15,25.5,44.1,231
2010-11-16,31.9,53.7,245
2010-11-17,19.0,34.0,192
2010-11-18,19.5,33.1,227
2010-11-19,10.6,21.7,174
2010-11-20,13.1,24.2,56
2010-11-21,12.2,20.1,54
2010-11-22,22.6,40.5,20
2010-11-23,23.7,37.6,17
2010-11-24,6.5,8.7,127
2010-11-25,6.1,9.8,101
2010-11-26,9.5,14.5,133
2010-11-27,8.9,16.1,165
2010-11-28,10.5,16.1,237
2010-11-29,7.4,11.6,95
2010-11-30,14.6,19.0,140
2010-12-01,9.9,15.7,158
2010-12-02,9.6,14.8,225
2010-12-03,9.3,13.6,51
2010-12-04,11.3,17.9,39
2010-12-05,13.0,20.6,46
2010-12-06,13.8,20.6,53
2010-12-07,11.6,18.3,63
2010-12-08,12.2,22.1,182
2010-12-09,15.6,26.4,206
2010-12-10,16.7,32.9,233
2010-12-11,9.2,15.2,116
2010-12-12,21.5,36.0,211
2010-12-13,14.8,24.8,205
2010-12-14,23.1,42.1,212
2010-12-15,14.7,25.9,218
2010-12-16,9.2,15.7,99
2010-12-17,11.5,21.3,70
2010-12-18,16.6,28.6,73
2010-12-19,11.2,20.1,45
2010-12-20,8.1,15.0,92
2010-12-21,9.3,15.2,83
2010-12-22,10.3,15.9,79
2010-12-23,7.6,12.3,93
2010-12-24,9.5,13.6,77
2010-12-25,8.6,13.6,79
2010-12-26,19.0,37.6,193
2010-12-27,19.2,33.8,215
2010-12-28,18.3,30.9,202
2010-12-29,17.7,29.3,285
2010-12-30,8.1,14.3,0
2010-12-31,6.6,9.4,60
2011-01-01,7.7,10.5,59
2011-01-02,6.6,9.4,47
2011-01-03,6.3,8.5,68
2011-01-04,5.4,7.8,104
2011-01-05,7.2,13.0,156
2011-01-06,8.8,13.9,183
2011-01-07,13.8,24.2,188
2011-01-08,15.2,25.5,253
2011-01-09,10.9,20.6,41
2011-01-10,13.2,22.8,54
2011-01-11,11.1,19.5,57
2011-01-12,15.9,30.0,174
2011-01-13,18.6,31.1,206
2011-01-14,21.4,38.3,219
2011-01-15,20.8,34.4,218
2011-01-16,24.8,43.0,222
2011-01-17,24.3,41.6,238
2011-01-18,15.9,28.9,247
2011-01-19,10.6,19.9,278
2011-01-20,13.7,23.5,195
2011-01-21,16.1,27.5,216
2011-01-22,11.2,20.1,240
2011-01-23,10.6,19.0,227
2011-01-24,6.3,11.2,124
2011-01-25,5.2,10.7,218
2011-01-26,8.8,17.7,175
2011-01-27,8.3,15.7,163
2011-01-28,12.5,23.9,194
2011-01-29,13.0,21.9,203
2011-01-30,12.8,23.9,20
2011-01-31,12.1,22.4,48
2011-02-01,10.3,17.0,56
2011-02-02,6.7,12.1,56
2011-02-03,7.4,16.6,145
2011-02-04,16.2,30.0,224
2011-02-05,12.9,23.0,270
2011-02-06,11.8,20.8,124
2011-02-07,19.7,36.2,248
2011-02-08,13.5,26.6,47
2011-02-09,12.3,22.6,240
2011-02-10,9.8,19.0,208
2011-02-11,10.8,20.8,170
2011-02-12,28.0,47.2,207
2011-02-13,25.9,46.5,211
2011-02-14,14.5,28.6,160
2011-02-15,15.6,29.5,177
2011-02-16,12.1,21.9,201
2011-02-17,16.8,29.1,196
2011-02-18,6.7,12.3,69
2011-02-19,19.1,33.6,31
2011-02-20,9.6,17.4,309
2011-02-21,15.8,28.6,204
2011-02-22,16.3,28.6,239
2011-02-23,14.9,27.1,213
2011-02-24,20.2,36.9,38
2011-02-25,16.2,24.6,15
2011-02-26,8.8,13.0,141
2011-02-27,24.8,39.8,193
2011-02-28,25.6,47.9,212
2011-03-01,9.0,13.6,141
2011-03-02,15.2,30.9,171
2011-03-03,14.2,28.6,207
2011-03-04,14.7,24.8,185
2011-03-05,11.0,21.7,218
2011-03-06,5.1,10.3,149
2011-03-07,9.8,20.1,227
2011-03-08,13.0,25.3,178
2011-03-09,15.9,34.0,171
2011-03-10,24.7,41.6,203
2011-03-11,24.1,41.2,216
2011-03-12,12.5,23.5,157
2011-03-13,22.8,51.2,163
2011-03-14,24.1,41.6,213
2011-03-15,20.7,34.4,172
2011-03-16,21.2,36.0,222
2011-03-17,13.3,25.9,202
2011-03-18,12.9,24.8,92
2011-03-19,11.4,22.4,197
2011-03-20,15.5,27.3,73
2011-03-21,9.8,18.6,65
2011-03-22,16.3,29.5,208
2011-03-23,10.5,18.3,99
2011-03-24,11.2,20.4,78
2011-03-25,7.4,18.6,156
2011-03-26,11.4,22.8,115
2011-03-27,15.3,27.5,202
2011-03-28,13.0,26.2,207
2011-03-29,13.9,25.3,203
2011-03-30,24.2,40.3,229
2011-03-31,24.4,43.2,237
2011-04-01,12.3,23.5,213
2011-04-02,22.4,41.8,252
2011-04-03,12.6,23.0,226
2011-04-04,18.2,29.1,210
2011-04-05,20.4,36.5,242
2011-04-06,19.0,34.2,217
2011-04-07,7.9,14.1,348
2011-04-08,13.2,26.6,11
2011-04-09,12.2,23.0,223
2011-04-10,16.0,28.9,205
2011-04-11,23.9,41.8,237
2011-04-12,6.8,15.0,174
2011-04-13,11.7,22.8,257
2011-04-14,19.6,34.4,214
2011-04-15,15.5,28.0,215
2011-04-16,20.1,36.0,239
2011-04-17,15.6,28.4,261
2011-04-18,13.0,27.5,256
2011-04-19,11.5,23.0,224
2011-04-20,8.3,16.3,153
2011-04-21,17.4,33.6,257
2011-04-22,11.9,20.4,234
