latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.51845,-122.63736,13.0,-25200,America/Los_Angeles,PDT

time,wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°)
2010-07-01,6.8,17.4,232
2010-07-02,7.8,20.1,244
2010-07-03,6.7,18.6,347
2010-07-04,6.9,17.4,335
2010-07-05,7.4,17.0,356
2010-07-06,12.1,29.1,6
2010-07-07,8.6,22.1,15
2010-07-08,7.1,13.9,322
2010-07-09,9.2,18.8,325
2010-07-10,8.8,23.5,336
2010-07-11,10.0,22.4,323
2010-07-12,9.4,21.9,327
2010-07-13,7.0,17.4,360
2010-07-14,8.1,20.4,359
2010-07-15,8.9,20.4,343
2010-07-16,8.4,18.6,344
2010-07-17,7.1,17.4,337
2010-07-18,7.4,19.5,330
2010-07-19,7.6,17.9,350
2010-07-20,8.0,19.0,335
2010-07-21,7.0,17.7,337
2010-07-22,9.4,21.5,334
2010-07-23,10.4,23.9,3
2010-07-24,10.4,24.4,353
2010-07-25,7.1,14.5,329
2010-07-26,7.7,17.4,315
2010-07-27,7.4,15.2,303
2010-07-28,7.8,16.6,320
2010-07-29,6.8,15.0,333
2010-07-30,7.8,17.2,299
2010-07-31,6.1,16.1,248
2010-08-01,6.0,13.0,300
2010-08-02,6.4,14.8,320
2010-08-03,7.3,15.9,295
2010-08-04,6.6,14.1,329
2010-08-05,7.1,17.0,297
2010-08-06,8.0,19.0,312
2010-08-07,6.7,17.7,308
2010-08-08,8.3,19.9,328
2010-08-09,7.0,17.7,324
2010-08-10,5.9,13.4,334
2010-08-11,5.9,14.3,330
2010-08-12,6.4,13.2,311
2010-08-13,11.6,27.3,16
2010-08-14,9.8,25.1,24
2010-08-15,7.8,16.6,281
2010-08-16,6.1,13.0,343
2010-08-17,9.7,23.0,305
2010-08-18,7.0,15.9,264
2010-08-19,8.1,18.1,314
2010-08-20,8.3,19.5,356
2010-08-21,6.6,16.8,329
2010-08-22,7.1,19.0,296
2010-08-23,10.5,23.5,8
2010-08-24,8.5,21.3,7
2010-08-25,8.6,16.6,344
2010-08-26,8.4,22.1,304
2010-08-27,8.7,18.8,358
2010-08-28,9.3,21.7,334
2010-08-29,6.5,17.7,239
2010-08-30,5.4,11.9,201
2010-08-31,10.9,23.3,211
2010-09-01,10.1,21.5,218
2010-09-02,10.7,26.2,16
2010-09-03,9.3,20.1,305
2010-09-04,9.5,24.2,326
2010-09-05,8.5,19.9,304
2010-09-06,4.2,12.1,304
2010-09-07,4.7,14.3,236
2010-09-08,6.1,14.1,289
2010-09-09,7.1,19.5,247
