latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.752193,-122.436554,23.0,-25200,America/Los_Angeles,PDT

time,wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°)
2010-07-01,3.2,11.2,178
2010-07-02,7.2,17.9,230
2010-07-03,5.9,15.9,181
2010-07-04,8.1,20.1,185
2010-07-05,6.0,13.4,208
2010-07-06,5.4,12.5,338
2010-07-07,5.4,15.7,22
2010-07-08,4.7,10.5,73
2010-07-09,6.1,13.6,181
2010-07-10,6.4,15.7,186
2010-07-11,8.8,21.0,184
2010-07-12,10.2,26.8,195
2010-07-13,6.9,16.6,197
2010-07-14,5.8,13.6,217
2010-07-15,6.9,16.1,193
2010-07-16,7.6,17.0,198
2010-07-17,6.6,15.7,197
2010-07-18,7.2,16.3,190
2010-07-19,6.2,16.6,207
2010-07-20,4.5,13.9,222
2010-07-21,6.1,15.2,199
2010-07-22,8.2,22.1,193
2010-07-23,5.5,14.8,299
2010-07-24,5.8,14.1,242
2010-07-25,6.1,13.9,232
2010-07-26,5.8,14.1,201
2010-07-27,6.3,16.6,195
2010-07-28,5.8,14.3,205
2010-07-29,6.0,14.5,220
2010-07-30,5.7,14.5,206
2010-07-31,6.1,17.7,185
2010-08-01,4.7,13.0,209
2010-08-02,6.8,15.7,229
2010-08-03,4.5,15.4,189
2010-08-04,4.9,13.0,216
2010-08-05,6.5,15.0,188
2010-08-06,8.2,18.6,192
2010-08-07,4.9,15.7,190
2010-08-08,5.9,16.6,195
2010-08-09,5.1,15.2,184
2010-08-10,4.5,14.3,231
2010-08-11,5.8,14.5,201
2010-08-12,4.3,11.6,265
2010-08-13,7.9,20.8,16
2010-08-14,5.4,13.9,41
2010-08-15,4.7,8.7,26
2010-08-16,4.1,11.4,167
2010-08-17,5.0,11.9,167
2010-08-18,6.2,17.9,210
2010-08-19,7.0,17.4,201
2010-08-20,5.0,13.0,196
2010-08-21,6.8,15.0,183
2010-08-22,7.5,21.3,183
2010-08-23,5.2,11.0,207
2010-08-24,3.9,9.8,348
2010-08-25,4.8,12.5,181
2010-08-26,11.0,28.6,189
2010-08-27,7.2,17.9,179
2010-08-28,5.4,15.0,334
2010-08-29,6.0,16.8,168
2010-08-30,6.0,15.4,191
2010-08-31,6.8,17.4,132
2010-09-01,6.1,14.5,198
2010-09-02,4.5,12.8,29
2010-09-03,7.1,14.3,161
2010-09-04,7.8,19.5,192
2010-09-05,6.1,15.4,184
2010-09-06,4.5,11.2,136
2010-09-07,5.4,16.6,302
2010-09-08,4.7,14.5,181
2010-09-09,6.9,16.8,193
2010-09-10,6.3,17.4,185
2010-09-11,5.2,15.4,170
2010-09-12,3.4,7.8,51
2010-09-13,3.8,11.2,16
2010-09-14,4.0,11.0,281
2010-09-15,3.7,14.1,72
2010-09-16,4.2,10.3,230
2010-09-17,8.8,23.3,43
2010-09-18,4.4,13.9,33
2010-09-19,8.4,20.6,161
2010-09-20,8.7,22.4,191
2010-09-21,4.0,11.9,27
2010-09-22,3.5,8.5,51
2010-09-23,6.0,18.8,138
2010-09-24,6.2,12.3,98
2010-09-25,8.3,19.2,164
2010-09-26,5.9,15.9,188
2010-09-27,8.1,18.8,171
