latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.627415,-122.32291,59.0,-25200,America/Los_Angeles,PDT

time,wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°)
2010-07-01,5.6,14.8,184
2010-07-02,4.6,14.1,293
2010-07-03,7.5,18.1,188
2010-07-04,8.9,20.8,203
2010-07-05,6.6,14.1,218
2010-07-06,8.7,20.4,16
2010-07-07,9.3,20.4,16
2010-07-08,7.1,15.4,22
2010-07-09,4.4,10.5,184
2010-07-10,5.4,14.5,241
2010-07-11,11.5,21.3,210
2010-07-12,13.0,26.6,205
2010-07-13,6.9,15.0,213
2010-07-14,5.9,14.5,11
2010-07-15,3.6,10.3,317
2010-07-16,7.3,18.1,217
2010-07-17,4.9,11.9,229
2010-07-18,6.3,16.3,213
2010-07-19,6.4,13.6,226
2010-07-20,4.1,13.4,299
2010-07-21,4.9,11.2,260
2010-07-22,10.6,23.3,203
2010-07-23,8.3,19.9,352
2010-07-24,7.7,17.2,9
2010-07-25,6.3,15.0,9
2010-07-26,4.0,10.5,214
2010-07-27,6.6,16.1,208
2010-07-28,7.3,12.5,219
2010-07-29,7.4,15.9,234
2010-07-30,4.1,11.2,274
2010-07-31,7.6,19.2,210
2010-08-01,7.0,14.5,213
2010-08-02,2.9,9.6,319
2010-08-03,5.4,13.6,262
2010-08-04,5.4,12.8,2
2010-08-05,5.8,12.5,232
2010-08-06,7.6,20.8,214
2010-08-07,8.6,19.9,205
2010-08-08,7.6,16.8,218
2010-08-09,5.9,15.0,225
2010-08-10,6.1,14.8,237
2010-08-11,3.9,9.4,207
2010-08-12,5.9,15.4,284
2010-08-13,10.6,25.1,16
2010-08-14,9.0,20.4,27
2010-08-15,7.3,17.4,24
2010-08-16,5.0,13.0,26
2010-08-17,10.8,19.5,209
2010-08-18,10.9,23.5,211
2010-08-19,7.9,17.9,211
2010-08-20,4.6,13.9,251
2010-08-21,4.8,11.2,280
2010-08-22,7.8,16.8,216
2010-08-23,6.5,16.6,2
2010-08-24,7.3,17.2,12
2010-08-25,4.4,11.6,13
2010-08-26,10.4,26.6,219
2010-08-27,6.7,15.4,151
2010-08-28,7.6,18.6,15
2010-08-29,9.9,23.7,201
2010-08-30,7.2,14.1,186
2010-08-31,14.4,28.0,190
2010-09-01,12.3,25.3,230
2010-09-02,9.6,20.6,13
2010-09-03,4.9,11.0,57
2010-09-04,7.9,18.3,209
2010-09-05,8.0,17.9,199
2010-09-06,9.3,19.2,186
2010-09-07,5.4,13.0,310
2010-09-08,6.1,13.6,213
2010-09-09,9.3,18.8,207
2010-09-10,8.7,18.6,189
2010-09-11,5.8,11.2,187
2010-09-12,8.3,19.9,192
2010-09-13,7.5,18.1,357
2010-09-14,3.9,10.3,10
2010-09-15,7.7,16.3,178
2010-09-16,7.4,15.7,156
2010-09-17,7.4,19.0,14
2010-09-18,5.7,13.2,192
2010-09-19,10.3,24.6,193
2010-09-20,13.0,28.9,204
2010-09-21,6.7,15.4,3
2010-09-22,6.7,16.6,49
2010-09-23,9.2,18.3,183
2010-09-24,8.7,19.0,163
2010-09-25,8.2,18.1,183
2010-09-26,8.6,18.1,189
2010-09-27,6.7,13.9,173
2010-09-28,7.4,15.4,352
2010-09-29,8.1,19.5,13
2010-09-30,8.1,17.9,16
2010-10-01,8.4,19.0,190
2010-10-02,5.0,12.3,321
2010-10-03,6.3,14.8,190
2010-10-04,6.2,11.0,194
2010-10-05,8.1,19.0,23
2010-10-06,7.0,15.0,24
2010-10-07,12.2,26.6,191
2010-10-08,6.8,17.4,171
2010-10-09,13.6,30.9,159
2010-10-10,13.9,34.4,198
2010-10-11,8.7,20.1,192
2010-10-12,5.2,11.2,46
2010-10-13,6.2,12.8,82
2010-10-14,6.9,14.8,189
2010-10-15,7.4,16.6,28
2010-10-16,6.5,15.9,15
2010-10-17,6.3,16.3,19
