latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.572933,-120.53055,325.0,-25200,America/Los_Angeles,PDT

time,wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°)
2010-07-01,12.4,28.6,287
2010-07-02,11.6,28.0,288
2010-07-03,11.4,27.1,299
2010-07-04,14.8,32.0,307
2010-07-05,10.0,28.6,315
2010-07-06,6.5,16.6,6
2010-07-07,8.9,22.4,24
2010-07-08,5.9,15.4,1
2010-07-09,14.1,32.2,314
2010-07-10,13.6,33.8,309
2010-07-11,14.8,31.8,296
2010-07-12,12.9,27.5,291
2010-07-13,9.1,24.8,314
2010-07-14,6.5,18.6,199
2010-07-15,10.8,24.6,300
2010-07-16,13.0,28.2,313
2010-07-17,12.9,30.0,314
2010-07-18,13.8,33.1,308
2010-07-19,7.1,20.1,309
2010-07-20,6.0,14.3,10
2010-07-21,12.7,28.4,326
2010-07-22,14.2,29.8,298
2010-07-23,6.9,19.5,311
2010-07-24,5.4,13.2,276
2010-07-25,10.3,22.6,320
2010-07-26,8.4,19.2,312
2010-07-27,9.7,22.8,139
2010-07-28,9.5,19.9,116
2010-07-29,6.8,17.7,329
2010-07-30,10.5,24.2,321
2010-07-31,13.0,27.5,318
2010-08-01,8.3,21.0,299
2010-08-02,8.9,21.0,329
2010-08-03,11.2,20.1,337
2010-08-04,8.1,21.7,350
2010-08-05,13.0,25.3,318
2010-08-06,11.7,28.9,304
2010-08-07,12.7,27.1,310
2010-08-08,11.0,26.6,312
2010-08-09,15.2,35.1,317
2010-08-10,7.9,19.2,301
2010-08-11,9.0,19.9,307
2010-08-12,11.9,26.4,299
2010-08-13,9.9,24.2,15
2010-08-14,10.4,24.2,21
2010-08-15,8.7,20.6,348
2010-08-16,5.9,11.0,308
2010-08-17,7.9,18.8,318
2010-08-18,8.9,19.0,282
2010-08-19,11.7,25.3,300
2010-08-20,7.7,16.3,334
2010-08-21,12.1,26.8,321
2010-08-22,11.9,26.6,293
2010-08-23,6.3,14.1,250
2010-08-24,6.2,15.2,8
2010-08-25,6.1,11.4,11
2010-08-26,16.9,37.4,281
2010-08-27,9.0,23.7,261
2010-08-28,10.0,21.5,327
2010-08-29,7.5,18.1,294
2010-08-30,6.0,16.8,278
2010-08-31,11.4,24.4,230
2010-09-01,9.3,19.0,287
2010-09-02,7.7,18.3,23
2010-09-03,5.9,13.0,337
2010-09-04,14.3,29.5,302
2010-09-05,12.8,27.1,293
2010-09-06,7.1,15.9,171
2010-09-07,4.2,14.3,344
2010-09-08,7.1,16.6,300
2010-09-09,9.3,21.9,299
2010-09-10,5.5,14.1,271
2010-09-11,5.0,12.3,345
2010-09-12,8.1,15.9,336
2010-09-13,5.4,10.7,347
2010-09-14,6.0,10.7,327
2010-09-15,9.2,23.3,272
2010-09-16,7.4,20.8,214
2010-09-17,7.6,17.0,350
2010-09-18,4.7,12.3,58
2010-09-19,11.9,27.3,211
2010-09-20,13.9,32.7,225
2010-09-21,4.9,11.4,316
2010-09-22,5.0,10.7,339
2010-09-23,8.2,19.0,225
2010-09-24,5.9,15.2,115
2010-09-25,6.5,13.0,83
2010-09-26,10.0,23.0,215
2010-09-27,4.6,11.2,175
2010-09-28,9.5,20.1,323
2010-09-29,5.4,13.4,348
2010-09-30,7.7,18.3,358
2010-10-01,4.6,10.3,354
2010-10-02,5.1,12.1,3
2010-10-03,5.7,12.1,323
2010-10-04,12.5,26.6,307
2010-10-05,6.9,18.3,330
2010-10-06,6.2,15.9,352
2010-10-07,6.2,12.8,280
2010-10-08,5.6,13.0,233
2010-10-09,7.2,17.7,125
2010-10-10,8.2,24.6,290
2010-10-11,6.3,14.8,274
2010-10-12,4.1,11.9,29
2010-10-13,4.8,12.8,20
2010-10-14,6.7,12.8,39
2010-10-15,7.0,17.2,330
2010-10-16,4.6,11.9,11
2010-10-17,4.5,9.8,5
2010-10-18,5.6,10.5,85
2010-10-19,4.3,10.3,50
2010-10-20,4.7,10.7,19
2010-10-21,4.0,10.3,14
2010-10-22,6.5,15.2,230
2010-10-23,8.4,18.1,155
